course_title,course_organization,course_certificate_type,course_time,course_rating,course_reviews_num,course_difficulty,course_url,course_students_enrolled,course_skills
Autodesk Certified Professional Revit for Architectural Design Exam Prep,Autodesk,Course,1 - 4 Weeks,4.7,2.5k,Advanced,https://www.coursera.org/learn/autodesk-revit-architectural-design,150097.0,"['Autodesk', 'Engineering', 'Computer-Aided Design (CAD)', 'Architecture', 'Autodesk Revit Architecture']"
Automate Cybersecurity Tasks with Python,Google,Course,1 - 4 Weeks,4.7,915,Beginner,https://www.coursera.org/learn/automate-cybersecurity-tasks-with-python,68630.0,"['Computer Programming', 'Python Programming', 'Coding', 'PEP 8 style guide']"
"BI Foundations with SQL, ETL and Data Warehousing",IBM,Specialization,3 - 6 Months,4.8,665,Beginner,https://www.coursera.org/specializations/bi-foundations-sql-etl-data-warehouse,56137.0,"['Cloud Databases', 'Python Programming', 'Jupyter notebooks', 'Relational Database Management System (RDBMS)', 'SQL', 'Data Warehousing', 'Cube and Rollup', 'Business Intelligence (BI)', 'Star and Snowflake Schema', 'cognos analytics', 'Linux', 'Bash (Unix Shell)', 'Extract Transform and Load (ETL)', 'Linux Commands', 'Shell Script', 'Apache Airflow', 'Apache Kafka', 'Data Pipelines', 'Data Engineer']"
BIM Fundamentals for Engineers,National Taiwan University,Course,1 - 3 Months,4.6,19.5k,Beginner,https://www.coursera.org/learn/bim-fundamentals,5940.0,"['Construction Management', 'Mechanical Engineering', 'Beam Robotics', 'Civil Engineering']"
Battery Technologies,Arizona State University,Specialization,3 - 6 Months,4.7,1.6k,Beginner,https://www.coursera.org/specializations/battery-technologies,73495.0,"['battery management systems', 'Electric Vehicles', 'battery types', 'battery charging']"
Bayesian Statistics,"University of California, Santa Cruz",Specialization,3 - 6 Months,4.7,30,Intermediate,https://www.coursera.org/specializations/bayesian-statistics,47565.0,"['Bayesian Statistics', 'Data Science', 'R Programming', 'Data Analysis', 'Statistics']"
Become a Journalist Report the News,Michigan State University,Specialization,3 - 6 Months,4.6,184,Beginner,https://www.coursera.org/specializations/become-a-journalist,3045.0,"['Journalism', 'Writing', 'Professional', 'News Writing', 'Multimedia']"
Become an EMT,University of Colorado System,Specialization,3 - 6 Months,4.7,1.6k,Beginner,https://www.coursera.org/specializations/become-an-emt,25510.0,"['Emergency Medicine', 'Emergency Medical Technician', 'EMT', 'Trauma']"
Behavioral Finance,Duke University,Course,1 - 4 Weeks,4.8,2.3k,Beginner,https://www.coursera.org/learn/duke-behavioral-finance,35474.0,"['Behavioral Economics', 'Behavioral Finance', 'Cognitive Bias', 'Decision-Making', 'Finance']"
Bioinformatics,University of California San Diego,Specialization,3 - 6 Months,4.4,3.8k,Beginner,https://www.coursera.org/specializations/bioinformatics,141892.0,"['Whole Genome Sequencing', 'Viterbi Algorithm', 'Suffix Tree', 'Python Programming', 'Algorithms', 'Unweighted Pair Group Method with Arithmetic Mean (UPGMA)', 'Bioinformatics']"
Biology Meets Programming Bioinformatics for Beginners,University of California San Diego,Course,1 - 4 Weeks,4.5,13.6k,Beginner,https://www.coursera.org/learn/bioinformatics,128012.0,"['Bioinformatics', 'Bioinformatics Algorithms', 'Biology', 'Python Programming']"
Biostatistics in Public Health,Johns Hopkins University,Specialization,3 - 6 Months,4.3,1.2k,Beginner,https://www.coursera.org/specializations/biostatistics-public-health,60232.0,"['Statistics', 'Statistical Hypothesis Testing', 'variability', 'regression']"
Blockchain Revolution in Financial Services,INSEAD,Specialization,3 - 6 Months,4.6,8.6k,Beginner,https://www.coursera.org/specializations/blockchain-financial-services,108717.0,"['Collaborative Working Environment', 'Blockchain (Database)', 'Open Collaboration', 'Access Structure', 'Object Binding', 'Alcatel Business Communications', 'Centurylink', 'Base Address']"
Bookkeeping Basics,Intuit,Course,1 - 4 Weeks,4.7,2.9k,Beginner,https://www.coursera.org/learn/bookkeeping-basics,35909.0,"['Basis Of Accounting', 'accounting software', 'Accounting Cycle', 'Creating Financial Statements', 'Double-Entry Bookkeeping System']"
"Brand Management Aligning Business, Brand and Behaviour",University of London,Course,1 - 3 Months,4.7,919,Beginner,https://www.coursera.org/learn/brand,15439.0,"['Corporate Branding', 'Brand Marketing', 'Brand Management', 'Brand Identity']"
Branding The Creative Journey,IE Business School,Specialization,3 - 6 Months,4.6,3.9k,Beginner,https://www.coursera.org/specializations/branding-the-creative-journey,129803.0,"['Creativity', 'Journalism', 'Branding', 'Communication', 'CX']"
Build Basic Generative Adversarial Networks (GANs),DeepLearning.AI,Course,1 - 4 Weeks,4.9,6.9k,Intermediate,https://www.coursera.org/learn/build-basic-generative-adversarial-networks-gans,408994.0,"['Controllable Generation', 'WGANs', 'Conditional Generation', 'Components of GANs', 'DCGANs']"
Build Dynamic User Interfaces (UI) for Websites,Google,Course,1 - 3 Months,4.6,1.4k,Beginner,https://www.coursera.org/learn/responsive-web-design-adobe-xd,41736.0,"['Usability Testing', 'User Experience (UX)', 'Prototype', 'User Experience Design (UXD)']"
Build Wireframes and Low-Fidelity Prototypes,Google,Course,1 - 4 Weeks,4.7,1.8k,Beginner,https://www.coursera.org/learn/wireframes-low-fidelity-prototypes,58050.0,"['User Experience (UX)', 'UX Research', 'Wireframe', 'Prototype', 'User Experience Design (UXD)']"
Build a Modern Computer from First Principles From Nand to Tetris (Project-Centered Course),Hebrew University of Jerusalem,Course,1 - 3 Months,4.8,2.7k,Mixed,https://www.coursera.org/learn/build-a-computer,150886.0,"['Logic Gate', 'Computer Architecture', 'Assembly Languages', 'Hardware Description Language (HDL)']"
Building Cloud Computing Solutions at Scale,Duke University,Specialization,3 - 6 Months,4.9,3.4k,Intermediate,https://www.coursera.org/specializations/building-cloud-computing-solutions-at-scale,185537.0,"['Cloud Platforms', 'Cloud API', 'Machine Learning', 'Cloud Databases', 'Cloud Computing']"
Building No-Code Apps with AppSheet,Google Cloud,Specialization,3 - 6 Months,4.8,2.5k,Beginner,https://www.coursera.org/specializations/building-no-code-apps-with-appsheet,57583.0,"['AppSheet', 'Google Sheets', 'No-code application development', 'AppSheet Automation']"
Business Analytics,University of Illinois at Urbana-Champaign,Specialization,3 - 6 Months,4.4,346,Beginner,https://www.coursera.org/specializations/analytics,11461.0,"['Machine Learning', 'Analytics', 'Data Analysis', 'power bi', 'Rstudio']"
Business Analytics,University of Pennsylvania,Specialization,3 - 6 Months,4.7,123,Beginner,https://www.coursera.org/specializations/business-analytics,2032.0,"['Customer Analytics', 'Analytics', 'Business Analytics', 'Decision Tree']"
